title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Flowers in the Golden Light;author_0;General Audiences;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Amyclas of Sparta (Ancient Greek Religion & Lore), Zephyrus (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), (mentioned);References to Ancient Greek Religion & Lore, Sad Ending, killing off the love interest since the b.c. era, this fic tries to emulate the colors purple and gold, apollo is very bisexual, zephyrus is an asshole, excessive use of ellipses;English;2022-12-18;Completed;2022-12-18;7827;1/1;;3;;17
Burning;author_1;Mature;F/M;Ancient Greek Religion & Lore, The Song of Achilles - Madeline Miller, Ancient Roman Religion & Lore, Close Enemies (2018);Diomedes x Hermania (OC);Diomedes, Hermania, The Greeks - Character, Achilles, Odysseus, Patroclus, Agamennon, Menelaus, Helen, Paris, Hector (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Tydeus (Hercules 2014), Diomedes (Song of Achilles), Odysseus (Song of Achilles), Achilles (Song of Achilles);Enemies to Lovers, Slave Trade, Alternate Universe - Ancient Greek Religion & Lore Fusion, Poetry, Love, obssession, Protectiveness;English;2022-12-18;Completed;2022-12-18;4031;1/1;;;;5
bambo nombre 5;author_2;General Audiences;F/F, F/M, Gen, M/M, Multi, Other;Christian Bible, Christian Bible (Old Testament), Christian Bible (New Testament), Lego - All Media Types, Lego Ninjago, The LEGO Movie (2014), The LEGO Ninjago Movie (2017), The LEGO Batman Movie (2017), LEGO Harry Potter (Video Games), Super Mario & Related Fandoms, Super Mario Bros. (Video Games), Mario Story | Paper Mario, Super Paper Mario (Game), Mario & Luigi RPG (Video Games), Super Mario Galaxy, Super Mario Odyssey (Video Game), Paper Mario: The Thousand Year Door, Super Mario RPG: Legend of the Seven Stars, Mario & Sonic (Video Games), Super Mario Sunshine, Mario Kart (Video Games), The Godfather - Mario Puzo, Gallipoli (1981), Breaking Bad, Better Call Saul (TV), ziyoziyonoQi Miao naMou Xian  | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure, Cars (Pixar Movies), Hades (Video Game 2018), Ancient Greek Religion & Lore, One Direction (Band), Dora the Explorer (Cartoon), Family Guy (Cartoon), Angry Birds - All Media Types;luigi/zagreus;Zagreus (Hades Video Game), Peter Griffin, Luigi (Nintendo), Mario (Nintendo), Hal (Angry Birds), Mighty Eagle (Angry Birds), Lightning McQueen, Elohim | God | Allah (Abrahamic Religions), Jesus Christ, Jesus Christ (Christianity), Jesus (JoJo: Steel Ball Run), Saddam Hussein, Osama bin Laden, Dio Brando, Satan, Jimmy McGill | Saul Goodman, Ottoman Empire (Anthropomorphic);;English;2022-12-18;Completed;2022-12-18;1350;9/9;1;3;;34
Anchor;author_3;Mature;F/F, F/M, M/M;Ancient Greek Religion & Lore;;sea - Character, Andreas, Cassian, Nina, Apollo Jr;abilities, abusing, Drug Use, Alternate Universe, Fantasy, Greek, High School, fears, Gay, Lesbian Character, Fluff and Smut, Jokes, Music;English;2022-12-09;Completed;2022-12-18;21641;18/18;;;;12
In Afterlife, Afterwards: Patroclus' Gambit;author_4;Mature;M/M;The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus (Song of Achilles);Achilles (Song of Achilles), Patroclus (Song of Achilles), Hades (Ancient Greek Religion & Lore), Theseus (Ancient Greek Religion & Lore), Hercules | Heracles (Ancient Greek Religion & Lore), Asclepius (Ancient Greek Religion & Lore);Post-Canon, Afterlife, Established Relationship, Implied Sexual Content, POV Patroclus (Song of Achilles), Fluff and Angst, Domestic Fluff, Some Humor, Greek Mythology References, Ancient Greek Life Setting, Needles and Knives, Warm and Fuzzy Feelings, Come hell or high water got real pretty quick;English;2022-11-30;Completed;2022-12-17;27628;11/11;26;30;1;552
Meeting The Family;author_5;Not Rated;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Amyclas of Sparta (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore);;English;2022-10-20;Completed;2022-12-16;2682;5/5;3;26;3;365
The Legacy of Moon;author_6;Explicit;F/F, F/M, Gen;InuYasha - A Feudal Fairy Tale, Bleach (Anime & Manga), Castlevania Lords of Shadow to Su Ming noMo Jing  | Castlevania: Lords of Shadow & Mirror of Fate, God of War (Video Games), Prince of Persia: The Sands of Time (Video Games), Ancient Greek Religion & Lore, Christian Tradition Lore & Folklore, Warriors Orochi;Tia Harribel/Sesshoumaru (InuYasha), Higurashi Kagome/InuYasha, Kuchiki Rukia/Kurosaki Ichigo, Ulquiorra Cifer/Inoue Orihime, Shihouin Yoruichi/Urahara Kisuke, Other Relationship Tags to Be Added;Sesshoumaru (InuYasha), Selene (Ancient Greek Religion & Lore), Gabriel Belmont | Dracula, Trevor Belmont | Alucard, Tia Harribel, Orkos (God of War), Naraku (InuYasha), Aizen Sousuke, Orochi (Warriors Orochi), Other Character Tags to Be Added;Crossovers & Fandom Fusions, Mythology References;English;2022-12-16;Completed;2022-12-16;1570;1/1;;;;28
Hos es to meden hekomen! (Shade-0 ver. Truth);author_7;General Audiences;Gen;The Aeneid - Virgil, Greek and Roman Mythology;;;Literary References & Allusions, gates of horn and ivory, Anti-Imperialism, Free Verse, Anti-clericalism;English;2022-12-15;Completed;2022-12-15;106;1/1;;;;2
my love is dark, but it's yours.;author_8;Not Rated;M/M;Ancient Greek Religion & Lore;Hades & Zeus (Ancient Greek Religion & Lore), Hades/Zeus (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore);Unrequited Love, Unreliable Narrator;English;2022-12-15;Completed;2022-12-15;792;1/1;;4;;21
Icarus' Plight;author_9;General Audiences;;Ancient Greek Religion & Lore, Icarus - Fandom;;;Song: Icarus (Bastille), Poetry;English;2022-12-15;Completed;2022-12-15;44;1/1;;;;5
Perseus Poseidian Jackson, The Blood Of The Seas;author_10;Mature;F/M, Gen;Percy Jackson and the Olympians & Related Fandoms - All Media Types, The Heroes of Olympus - Rick Riordan, Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;Poseidon/Demeter (Percy Jackson), Zeus Hera (Percy Jackson), Hades/Persephone (Percy Jackson), Kronos/Rhea (Percy Jackson), Percy Jackson & Poseidon, Percy Jackson & Katie Gardner, Percy Jackson & Sally Jackson, Percy Jackson & Nico DiAngelo, Percy Jackson & Kymopoleia, Percy Jackson & Triton, Percy Jackson & Grover Underwood, Nico DiAngelo & Zagreus, Percy Jackson & Thalia Grace, Percy Jackson/Annabeth Chase, Percy Jackson & Bianca Di Angelo, Percy Jackson/Bianca Di Angelo, maybe;Percy Jackson, Nico di Angelo, Katie Gardner, Thalia Grace, Luke Castellan, Poseidon, Demeter, Hades, Zeus, Annabeth Chase, Bianca di Angelo, Kymopoleia, Grover Underwood;References to Ancient Greek Religion & Lore, Dark Percy Jackson, Powerful Percy Jackson, BAMF Percy Jackson, Percy Jackson has cousins, Poseidon is a good parent, Sally Jackson is a Good Parent, Alternate Universe - Canon Divergence, Nico di Angelo & Percy Jackson Friendship, BAMF Nico di Angelo, No Romantic Pairing As Of Right Now, Bianca Di Angelo Doesn't Join The Hunters, BAMF Bianca di Angelo, Morally Grey Percy Jackson;English;2022-09-28;Completed;2022-12-14;11363;3/3;26;122;28;2003
